market,funding_total_usd,status,status_binary,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,SUM_funding_total_usd
 Trading ," 3,50,00,00,000 ",operating,operating,USA,GA,Atlanta,Atlanta,1,1/1/71,1,Q1,1971,7/3/14,7/3/14,0,0,0,0,0,0,0,0,3500000000,0,0,0,0,0,0,0,0,0,0,0,0,3500000000
 Predictive Analytics ," 93,79,267 ",operating,operating,USA,PA,Pittsburgh,Sewickley,3,2/1/07,2,Q1,2007,5/16/11,2/27/14,0,9379267,0,0,0,0,0,0,0,0,0,0,0,3600000,4279267,1500000,0,0,0,0,0,18758534
 News ," 5,00,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,1,9/29/12,9,Q3,2012,12/19/13,12/19/13,0,50000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000
 iOS ," 26,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,3,1/1/13,1,Q1,2013,3/1/13,5/16/14,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600000
 Software ," 1,00,00,000 ",operating,operating,USA,AZ,Phoenix,Scottsdale,1,1/1/66,1,Q1,1966,8/29/11,8/29/11,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000
 Semiconductors ," 42,77,00,000 ",operating,operating,USA,AZ,Phoenix,Tempe,1,1/1/99,1,Q1,1999,6/18/13,6/18/13,0,0,0,0,0,0,0,0,0,427700000,0,0,0,0,0,0,0,0,0,0,0,427700000
 Curated Web ," 22,00,000 ",operating,operating,USA,IL,Chicago,Chicago,1,4/1/11,4,Q2,2011,3/19/14,3/19/14,0,0,0,0,0,0,2200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000
 Software ," 37,67,701 ",operating,operating,USA,CA,SF Bay Area,San Mateo,3,1/1/98,1,Q1,1998,12/28/09,9/11/12,0,3767701,0,0,0,0,0,0,0,0,0,0,0,1918018,1600000,0,0,0,0,0,0,7285719
 Biotechnology ," 55,85,000 ",operating,operating,USA,NV,Reno - Sparks,Reno,5,1/1/08,1,Q1,2008,8/7/12,10/5/14,0,1540000,0,0,0,3045000,1000000,0,0,0,0,0,0,1540000,0,0,0,0,0,0,0,7125000
 Biotechnology ," 1,30,000 ",operating,operating,USA,NY,NY - Other,Batavia,1,1/1/07,1,Q1,2007,3/12/12,3/12/12,0,0,0,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
